period,date,one,two,three,four,five,six,special
104000010,2015/2/3,30,13,16,18,5,15,8
104000009,2015/1/30,35,14,24,39,3,44,28
104000008,2015/1/27,45,4,27,15,9,21,6
104000007,2015/1/23,20,16,39,42,38,8,29
104000006,2015/1/20,47,35,28,45,9,24,48
104000005,2015/1/16,2,46,17,32,38,28,49
104000004,2015/1/13,46,14,22,37,2,16,49
104000003,2015/1/9,18,7,24,21,23,8,11
104000002,2015/1/6,16,37,43,11,30,29,13
104000001,2015/1/2,31,23,48,29,22,13,6
103000108,2014/12/30,48,49,7,44,32,30,45
103000107,2014/12/26,49,32,42,45,9,27,30
103000106,2014/12/23,32,39,3,31,30,27,35
103000105,2014/12/19,9,1,24,41,32,49,40
103000104,2014/12/16,35,45,34,32,17,28,8
103000103,2014/12/12,24,8,29,32,7,48,37
103000102,2014/12/9,41,23,9,7,43,33,24
103000101,2014/12/5,47,30,11,34,37,18,17
103000100,2014/12/2,11,26,42,13,9,23,47
103000099,2014/11/28,35,44,1,40,10,21,36
103000098,2014/11/25,15,32,16,1,44,48,40
103000097,2014/11/21,3,32,2,34,26,22,40
103000096,2014/11/18,12,20,43,11,28,26,6
103000095,2014/11/14,44,15,41,29,16,34,49
103000094,2014/11/11,18,23,11,36,5,43,14
103000093,2014/11/7,49,25,40,27,19,11,33
103000092,2014/11/4,20,38,3,35,30,41,47
103000091,2014/10/31,14,8,27,49,10,2,20
103000090,2014/10/28,16,32,25,5,37,44,21
103000089,2014/10/24,36,1,20,45,17,37,15
103000088,2014/10/21,31,44,42,28,14,38,45
103000087,2014/10/17,32,36,33,2,20,11,39
103000086,2014/10/14,47,36,20,9,14,10,8
103000085,2014/10/10,11,26,1,24,28,19,33
103000084,2014/10/7,45,40,17,47,18,41,29
103000083,2014/10/3,10,14,19,37,24,35,39
103000082,2014/9/30,49,41,18,47,36,35,15
103000081,2014/9/26,15,19,29,22,37,8,39
103000080,2014/9/23,38,28,20,32,2,11,16
103000079,2014/9/19,6,17,29,2,32,39,4
103000078,2014/9/16,41,19,7,18,16,12,45
103000077,2014/9/12,27,49,2,36,31,23,15
103000076,2014/9/9,42,49,21,41,29,23,14
