period,date,one,two,three,four,five,six,special,
104000082,09-25,13,38,25,21,09,39,02
104000081,09-22,47,46,06,10,39,44,30
104000080,09-18,16,06,17,41,37,36,28
104000079,09-15,44,13,30,34,31,02,39
104000078,09-11,41,10,05,29,18,44,30
104000077,09-08,08,31,43,28,36,32,09
104000076,09-04,20,49,46,19,44,47,09
104000075,09-01,20,48,40,18,19,09,03
104000074,08-28,15,11,46,40,08,12,16
104000073,08-25,45,22,13,26,47,15,49
104000072,08-21,20,10,15,21,36,27,45
104000071,08-18,29,49,30,08,20,42,21
104000070,08-14,13,23,42,05,24,14,35
104000069,08-11,45,43,46,02,35,01,14
104000068,08-07,25,36,28,27,37,26,38
104000067,08-04,48,12,03,19,17,38,43
104000066,07-31,30,40,13,16,32,18,29
104000065,07-28,49,32,06,27,15,44,16
104000064,07-24,25,10,12,42,33,39,29
104000063,07-21,16,44,40,09,08,39,28
104000062,07-17,33,04,27,07,20,40,38
104000061,07-14,45,30,10,12,14,19,41
104000060,07-10,06,05,26,13,47,29,33
104000059,07-07,46,33,01,27,14,42,41
104000058,07-03,21,23,29,41,46,28,24
104000057,06-30,18,35,19,48,46,32,47
104000056,06-26,06,12,05,41,29,28,07
104000055,06-23,45,02,13,35,33,43,05
104000054,06-19,18,11,05,25,38,03,15
104000053,06-16,35,41,04,25,03,45,07
104000052,06-12,28,08,24,22,19,26,18
104000051,06-09,37,03,20,27,44,34,12
104000050,06-05,41,08,48,32,21,35,34
104000049,06-02,07,01,20,19,46,47,13
104000048,05-29,02,34,32,11,28,05,24
104000047,05-26,10,26,45,11,02,20,30
104000046,05-22,23,03,43,28,37,21,05
104000045,05-19,46,16,15,42,29,39,14
104000044,05-15,27,32,18,06,29,03,40
104000043,05-12,01,23,29,31,13,33,17
104000042,05-08,44,15,02,28,10,49,39
104000041,05-05,44,41,28,42,49,08,30
104000040,05-01,15,49,25,29,47,08,09
104000039,04-28,03,44,36,26,12,05,23
104000038,04-24,13,25,41,46,35,31,49
104000037,04-21,01,22,03,33,29,11,30
104000036,04-17,47,45,26,36,33,32,39
104000035,04-14,38,01,48,49,23,22,11
104000034,04-10,44,17,10,11,42,20,13
104000033,04-07,17,47,11,45,19,33,04
104000032,04-03,36,13,43,32,42,40,41
104000031,03-31,02,32,43,13,25,04,15
104000030,03-27,12,36,24,13,18,15,39
104000029,03-24,09,04,06,17,03,24,28
104000028,03-20,04,13,07,29,09,46,08
104000027,03-17,36,42,49,05,32,40,01
104000026,03-13,06,22,09,14,33,16,11
104000025,03-10,11,25,46,47,03,34,42
104000024,03-06,44,22,21,06,37,35,29
104000023,03-03,43,46,41,06,11,04,21
104000022,02-27,02,06,43,38,27,34,45
104000021,02-24,46,39,28,03,48,41,09
104000020,02-23,21,20,43,38,32,14,23
104000019,02-22,06,03,12,37,34,43,28
104000018,02-21,27,17,40,02,11,05,20
104000017,02-20,10,45,29,05,09,28,41
104000016,02-19,25,40,07,49,31,27,11
104000015,02-18,15,27,06,16,03,31,14
104000014,02-17,11,15,23,46,40,03,13
104000013,02-13,25,01,29,09,15,35,38
104000012,02-10,29,14,44,26,15,35,09
104000011,02-06,11,42,05,29,46,36,48
104000010,02-03,30,13,16,18,05,15,08
104000009,01-30,35,14,24,39,03,44,28
104000008,01-27,45,04,27,15,09,21,06
104000007,01-23,20,16,39,42,38,08,29
104000006,01-20,47,35,28,45,09,24,48
104000005,01-16,02,46,17,32,38,28,49
104000004,01-13,46,14,22,37,02,16,49
104000003,01-09,18,07,24,21,23,08,11
104000002,01-06,16,37,43,11,30,29,13
104000001,01-02,31,23,48,29,22,13,06
103000108,12-30,48,49,07,44,32,30,45
103000107,12-26,49,32,42,45,09,27,30
103000106,12-23,32,39,03,31,30,27,35
103000105,12-19,09,01,24,41,32,49,40
103000104,12-16,35,45,34,32,17,28,08
103000103,12-12,24,08,29,32,07,48,37
103000102,12-09,41,23,09,07,43,33,24
103000101,12-05,47,30,11,34,37,18,17
103000100,12-02,11,26,42,13,09,23,47
103000099,11-28,35,44,01,40,10,21,36
103000098,11-25,15,32,16,01,44,48,40
103000097,11-21,03,32,02,34,26,22,40
103000096,11-18,12,20,43,11,28,26,06
103000095,11-14,44,15,41,29,16,34,49
103000094,11-11,18,23,11,36,05,43,14
103000093,11-07,49,25,40,27,19,11,33
